taxon	method	feature	func	category	score	preserved_ann	new_ann	map_type	UniRef90	description	taxa_rank	taxa_lineage
Alistipes_shahii	finalized	Cluster_1406318	GO:0000272:[BP] polysaccharide catabolic process	BP	0.78	0	1	SU	UniRef90_D4IKR4	Uncharacterized protein	Terminal	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii|t__Alistipes_shahii_WAL_8301
Alistipes_shahii	finalized	Cluster_1406618	GO:0000272:[BP] polysaccharide catabolic process	BP	0.78	0	1	SU	UniRef90_D4IL31	Uncharacterized protein	Terminal	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii|t__Alistipes_shahii_WAL_8301
Alistipes_shahii	finalized	Cluster_140702	GO:0000272:[BP] polysaccharide catabolic process	BP	0.78	0	1	SU	UniRef90_D4IIQ3	ATPase components of ABC transporters with duplicated ATPase domains	Terminal	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii|t__Alistipes_shahii_WAL_8301
Alistipes_shahii	finalized	Cluster_1410576	GO:0000272:[BP] polysaccharide catabolic process	BP	0.78	0	1	SU	UniRef90_D4IQ18	Uncharacterized protein	Terminal	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii|t__Alistipes_shahii_WAL_8301
Alistipes_shahii	finalized	Cluster_141107	GO:0000272:[BP] polysaccharide catabolic process	BP	0.78	0	1	SU	UniRef90_D4ILF5	Superfamily II DNA helicase	Terminal	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii|t__Alistipes_shahii_WAL_8301
Alistipes_shahii	finalized	Cluster_1411157	GO:0000272:[BP] polysaccharide catabolic process	BP	0.78	0	1	SC	UniRef90_D4INT7	Methylated-DNA--protein-cysteine methyltransferase	Terminal	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii|t__Alistipes_shahii_WAL_8301
Alistipes_shahii	finalized	Cluster_1416613	GO:0000272:[BP] polysaccharide catabolic process	BP	0.78	0	1	SU	UniRef90_D4IML8	Acyl dehydratase	Terminal	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii|t__Alistipes_shahii_WAL_8301
Alistipes_shahii	finalized	Cluster_14175	GO:0000272:[BP] polysaccharide catabolic process	BP	0.78	0	1	SC	UniRef90_D4IMG7	Response regulator containing a CheY-like receiver domain and an HTH DNA-binding domain	Terminal	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii|t__Alistipes_shahii_WAL_8301
Alistipes_shahii	finalized	Cluster_14195	GO:0000272:[BP] polysaccharide catabolic process	BP	0.78	0	1	SU	UniRef90_D4IPR2	Phosphomannomutase	Terminal	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii|t__Alistipes_shahii_WAL_8301
Alistipes_shahii	finalized	Cluster_1420773	GO:0000272:[BP] polysaccharide catabolic process	BP	0.78	0	1	SU	UniRef90_D4IL60	SusD family	Terminal	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii|t__Alistipes_shahii_WAL_8301
Alistipes_shahii	finalized	Cluster_142128	GO:0000272:[BP] polysaccharide catabolic process	BP	0.78	0	1	SC	UniRef90_D4IQG2	Orotidine 5'-phosphate decarboxylase	Terminal	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii|t__Alistipes_shahii_WAL_8301
Alistipes_shahii	finalized	Cluster_142366	GO:0000272:[BP] polysaccharide catabolic process	BP	0.78	0	1	SU	UniRef90_D4IMV8	Uncharacterized protein	Terminal	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii|t__Alistipes_shahii_WAL_8301
Alistipes_shahii	finalized	Cluster_1424438	GO:0000272:[BP] polysaccharide catabolic process	BP	0.78	0	1	SU	UniRef90_D4IL16	Uncharacterized protein	Terminal	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii|t__Alistipes_shahii_WAL_8301
Alistipes_shahii	finalized	Cluster_1424535	GO:0000272:[BP] polysaccharide catabolic process	BP	0.78	0	1	SU	UniRef90_D4IPT6	Small-conductance mechanosensitive channel	Terminal	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii|t__Alistipes_shahii_WAL_8301
Alistipes_shahii	finalized	Cluster_142479	GO:0000272:[BP] polysaccharide catabolic process	BP	0.78	0	1	SU	UniRef90_D4ILI1	Regulatory protein RecX	Terminal	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii|t__Alistipes_shahii_WAL_8301
Alistipes_shahii	finalized	Cluster_1426287	GO:0000272:[BP] polysaccharide catabolic process	BP	0.78	0	1	SC	UniRef90_D4IKT1	Site-specific recombinase XerD	Terminal	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii|t__Alistipes_shahii_WAL_8301
Alistipes_shahii	finalized	Cluster_1426288	GO:0000272:[BP] polysaccharide catabolic process	BP	0.78	0	1	SU	UniRef90_D4IJK7	G:T/U mismatch-specific DNA glycosylase	Terminal	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii|t__Alistipes_shahii_WAL_8301
Alistipes_shahii	finalized	Cluster_142663	GO:0000272:[BP] polysaccharide catabolic process	BP	0.78	0	1	SU	UniRef90_D4IM38	Uncharacterized protein	Terminal	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii|t__Alistipes_shahii_WAL_8301
Alistipes_shahii	finalized	Cluster_1428762	GO:0000272:[BP] polysaccharide catabolic process	BP	0.78	0	1	SU	UniRef90_D4IIN7	Uncharacterized protein	Terminal	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii|t__Alistipes_shahii_WAL_8301
Alistipes_shahii	finalized	Cluster_142983	GO:0000272:[BP] polysaccharide catabolic process	BP	0.78	0	1	SU	UniRef90_D4IMD2	Predicted amidophosphoribosyltransferases	Terminal	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii|t__Alistipes_shahii_WAL_8301
Alistipes_shahii	finalized	Cluster_143251	GO:0000272:[BP] polysaccharide catabolic process	BP	0.78	0	1	SU	UniRef90_D4IPZ0	TonB dependent receptor	Terminal	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii|t__Alistipes_shahii_WAL_8301
Alistipes_shahii	finalized	Cluster_1433514	GO:0000272:[BP] polysaccharide catabolic process	BP	0.78	0	1	SU	UniRef90_D4IJS8	Uncharacterized protein	Terminal	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii|t__Alistipes_shahii_WAL_8301
Alistipes_shahii	finalized	Cluster_143387	GO:0000272:[BP] polysaccharide catabolic process	BP	0.78	0	1	SU	UniRef90_D4IMW9	Uncharacterized protein	Terminal	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii|t__Alistipes_shahii_WAL_8301
Alistipes_shahii	finalized	Cluster_143388	GO:0000272:[BP] polysaccharide catabolic process	BP	0.78	0	1	SU	UniRef90_D4IMX0	Uncharacterized protein	Terminal	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii|t__Alistipes_shahii_WAL_8301
Alistipes_shahii	finalized	Cluster_1434013	GO:0000272:[BP] polysaccharide catabolic process	BP	0.78	0	1	SU	UniRef90_D4IL02	Uncharacterized protein	Terminal	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii|t__Alistipes_shahii_WAL_8301
Alistipes_shahii	finalized	Cluster_1435349	GO:0000272:[BP] polysaccharide catabolic process	BP	0.78	0	1	SU	UniRef90_D4IQB7	Uncharacterized protein	Terminal	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii|t__Alistipes_shahii_WAL_8301
Alistipes_shahii	finalized	Cluster_14386	GO:0000272:[BP] polysaccharide catabolic process	BP	0.78	0	1	SU	UniRef90_D4IJE8	Dinucleotide-utilizing enzymes involved in molybdopterin and thiamine biosynthesis family 1	Terminal	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii|t__Alistipes_shahii_WAL_8301
Alistipes_shahii	finalized	Cluster_144257	GO:0000272:[BP] polysaccharide catabolic process	BP	0.78	0	1	SU	UniRef90_D4IPF2	ABC-type transport system involved in resistance to organic solvents, periplasmic component	Terminal	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii|t__Alistipes_shahii_WAL_8301
Alistipes_shahii	finalized	Cluster_144267	GO:0000272:[BP] polysaccharide catabolic process	BP	0.78	0	1	SU	UniRef90_D4IQ21	ParB-like partition proteins	Terminal	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii|t__Alistipes_shahii_WAL_8301
Alistipes_shahii	finalized	Cluster_144455	GO:0000272:[BP] polysaccharide catabolic process	BP	0.78	0	1	SU	UniRef90_D4IL80	Type IV secretory pathway, VirD4 components	Terminal	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii|t__Alistipes_shahii_WAL_8301
Alistipes_shahii	finalized	Cluster_1447677	GO:0000272:[BP] polysaccharide catabolic process	BP	0.78	0	1	SU	UniRef90_D4IK33	Membrane proteins related to metalloendopeptidases	Terminal	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii|t__Alistipes_shahii_WAL_8301
Alistipes_shahii	finalized	Cluster_1447798	GO:0000272:[BP] polysaccharide catabolic process	BP	0.78	0	1	SU	UniRef90_D4IP98	Recombination protein MgsA	Terminal	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii|t__Alistipes_shahii_WAL_8301
Alistipes_shahii	finalized	Cluster_14518	GO:0000272:[BP] polysaccharide catabolic process	BP	0.78	0	1	SU	UniRef90_D4ILE6	Uncharacterized conserved protein	Terminal	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii|t__Alistipes_shahii_WAL_8301
Alistipes_shahii	finalized	Cluster_1451904	GO:0000272:[BP] polysaccharide catabolic process	BP	0.78	0	1	SU	UniRef90_D4IJE1	Membrane proteins related to metalloendopeptidases	Terminal	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii|t__Alistipes_shahii_WAL_8301
Alistipes_shahii	finalized	Cluster_1452614	GO:0000272:[BP] polysaccharide catabolic process	BP	0.78	0	1	SU	UniRef90_D4IMR8	Uncharacterized protein	Terminal	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii|t__Alistipes_shahii_WAL_8301
Alistipes_shahii	finalized	Cluster_1454600	GO:0000272:[BP] polysaccharide catabolic process	BP	0.78	0	1	SU	UniRef90_D4IJJ7	Predicted permease, DMT superfamily	Terminal	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii|t__Alistipes_shahii_WAL_8301
Alistipes_shahii	finalized	Cluster_1455315	GO:0000272:[BP] polysaccharide catabolic process	BP	0.78	0	1	SU	UniRef90_D4IMM3	PAP2 superfamily	Terminal	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii|t__Alistipes_shahii_WAL_8301
Alistipes_shahii	finalized	Cluster_1455403	GO:0000272:[BP] polysaccharide catabolic process	BP	0.78	0	1	SU	UniRef90_D4IPT5	Uncharacterized protein	Terminal	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii|t__Alistipes_shahii_WAL_8301
Alistipes_shahii	finalized	Cluster_145764	GO:0000272:[BP] polysaccharide catabolic process	BP	0.78	0	1	SU	UniRef90_D4IJ75	Uncharacterized protein	Terminal	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii|t__Alistipes_shahii_WAL_8301
Alistipes_shahii	finalized	Cluster_1458279	GO:0000272:[BP] polysaccharide catabolic process	BP	0.78	0	1	SU	UniRef90_D4IJV9	Predicted transcriptional regulator containing an HTH domain and an uncharacterized domain shared with the mammalian protein Schlafen	Terminal	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii|t__Alistipes_shahii_WAL_8301
Alistipes_shahii	finalized	Cluster_1459743	GO:0000272:[BP] polysaccharide catabolic process	BP	0.78	0	1	SU	UniRef90_D4IK39	Uncharacterized protein	Terminal	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii|t__Alistipes_shahii_WAL_8301
Alistipes_shahii	finalized	Cluster_146177	GO:0000272:[BP] polysaccharide catabolic process	BP	0.78	0	1	SC	UniRef90_D4IP23	tRNA modification GTPase MnmE	Terminal	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii|t__Alistipes_shahii_WAL_8301
Alistipes_shahii	finalized	Cluster_146186	GO:0000272:[BP] polysaccharide catabolic process	BP	0.78	0	1	SU	UniRef90_D4IJZ3	RND family efflux transporter, MFP subunit	Terminal	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii|t__Alistipes_shahii_WAL_8301
Alistipes_shahii	finalized	Cluster_1462585	GO:0000272:[BP] polysaccharide catabolic process	BP	0.78	0	1	SU	UniRef90_D4INZ7	Acetyltransferases	Terminal	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii|t__Alistipes_shahii_WAL_8301
Alistipes_shahii	finalized	Cluster_1468346	GO:0000272:[BP] polysaccharide catabolic process	BP	0.78	0	1	SU	UniRef90_D4IK81	Exonuclease III	Terminal	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii|t__Alistipes_shahii_WAL_8301
Alistipes_shahii	finalized	Cluster_146928	GO:0000272:[BP] polysaccharide catabolic process	BP	0.78	0	1	SU	UniRef90_D4IMM9	Uncharacterized protein	Terminal	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii|t__Alistipes_shahii_WAL_8301
Alistipes_shahii	finalized	Cluster_1473204	GO:0000272:[BP] polysaccharide catabolic process	BP	0.78	0	1	SU	UniRef90_D4IPS1	Uncharacterized protein	Terminal	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii|t__Alistipes_shahii_WAL_8301
Alistipes_shahii	finalized	Cluster_1474727	GO:0000272:[BP] polysaccharide catabolic process	BP	0.78	0	1	SU	UniRef90_D4IP88	Predicted transcriptional regulators	Terminal	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii|t__Alistipes_shahii_WAL_8301
